20551	20551
28577	28577
28510	28510
27715	27715
28788	28788
29062	29062
28648	28648
28205	28205
27958	27958
27893	27893
28914	28914
28939	28939
29058	29058
28521	28521
27815	27815
27498	27498
28971	28971
28565	28565
28969	28969
28647	28647
28613	28613
28020	28020
28898	28898
28924	28924
28456	28456
28412	28412
28203	28203
27514	27514
27470	27470
29059	29059
28768	28768
28436	28436
27897	27897
27864	27864
29060	29060
28138	28138
27981	27981
27939	27939
27872	27872
28724	28724
28119	28119
28807	28807
28520	28520
27843	27843
27260	27260
28547	28547
27983	27983
27912	27912
27105	27105
29055	29055
28923	28923
27724	27724
27259	27259
28571	28571
27660	27660
27461	27461
29029	29029
28345	28345
28331	28331
28033	28033
27656	27656
28237	28237
27985	27985
27814	27814
27605	27605
27374	27374
29056	29056
106007	106007
28654	28654
28652	28652
28651	28651
28408	28408
27926	27926
27530	27530
28711	28711
28710	28710
28653	28653
28573	28573
28504	28504
27723	27723
28193	28193
27980	27980
27362	27362
28646	28646
28317	28317
27140	27140
28832	28832
29061	29061
28192	28192
28127	28127
28123	28123
27136	27136
29057	29057
27216	27216
29054	29054
29064	29064
27502	27502
29053	29053
28381	28381
966	966
20552	20552
965	965
20553	20553
28682	28682
27822	27822
28772	28772
27535	27535
28906	28906
28395	28395
27593	27593
27314	27314
28495	28495
27152	27152
28758	28758
28139	28139
27379	27379
28976	28976
29067	29067
29071	29071
27442	27442
27402	27402
28927	28927
29070	29070
28566	28566
28261	28261
28947	28947
29068	29068
28387	28387
28136	28136
28726	28726
28609	28609
28202	28202
27717	27717
27414	27414
28962	28962
28474	28474
28210	28210
28024	28024
27654	27654
28439	28439
27868	27868
27808	27808
29022	29022
27916	27916
27319	27319
27183	27183
28812	28812
29065	29065
27943	27943
27675	27675
27545	27545
28776	28776
28867	28867
28546	28546
28236	28236
27957	27957
27695	27695
29039	29039
28353	28353
27762	27762
27546	27546
29066	29066
28608	28608
28799	28799
27378	27378
27208	27208
28798	28798
28830	28830
27114	27114
28444	28444
28360	28360
28352	28352
27755	27755
27250	27250
28549	28549
27188	27188
29069	29069
28607	28607
28536	28536
28410	28410
27332	27332
27318	27318
27082	27082
28809	28809
28900	28900
29288	29288
20536	20536
142	142
27017	27017
20554	20554
27060	27060
27059	27059
26989	26989
21774	21774
28543	28543
24880	24880
