9997	9997
9996	9996
9995	9995
9994	9994
9993	9993
9992	9992
9991	9991
9990	9990
9984	9984
9983	9983
9982	9982
9981	9981
9980	9980
98561	98561
98560	98560
98559	98559
98546	98546
37180	37180
26081	26081
21776	21776
21744	21744
21743	21743
21657	21657
20570	20570
20569	20569
20568	20568
20567	20567
20566	20566
20565	20565
20564	20564
20563	20563
20562	20562
20561	20561
20560	20560
20559	20559
20558	20558
20520	20520
20519	20519
20518	20518
20517	20517
20516	20516
20515	20515
20514	20514
20513	20513
20512	20512
20511	20511
20510	20510
20509	20509
20508	20508
20507	20507
20506	20506
20505	20505
20504	20504
20503	20503
20502	20502
20501	20501
20500	20500
20499	20499
20498	20498
20497	20497
20496	20496
20495	20495
20494	20494
20493	20493
20492	20492
20491	20491
20490	20490
20489	20489
20488	20488
20487	20487
20486	20486
20485	20485
20484	20484
20483	20483
20482	20482
20481	20481
20480	20480
20479	20479
20478	20478
20477	20477
20476	20476
20475	20475
20474	20474
20473	20473
20472	20472
20471	20471
20470	20470
20469	20469
20468	20468
20467	20467
20466	20466
20465	20465
20464	20464
20463	20463
20461	20461
20460	20460
20459	20459
20458	20458
20457	20457
20456	20456
20455	20455
20454	20454
20453	20453
20452	20452
20451	20451
20450	20450
20449	20449
20448	20448
20447	20447
20446	20446
20445	20445
20444	20444
20443	20443
20442	20442
20441	20441
20440	20440
20439	20439
20438	20438
20437	20437
20436	20436
20435	20435
20434	20434
20433	20433
20432	20432
20431	20431
20430	20430
20429	20429
20428	20428
20427	20427
20426	20426
20425	20425
20424	20424
20423	20423
20422	20422
20421	20421
20420	20420
20419	20419
20418	20418
20417	20417
20416	20416
20415	20415
20414	20414
20413	20413
20412	20412
20411	20411
20410	20410
20409	20409
20408	20408
20407	20407
20406	20406
20405	20405
20404	20404
20403	20403
20402	20402
20401	20401
20400	20400
20399	20399
20398	20398
20397	20397
20396	20396
20395	20395
20394	20394
20393	20393
20392	20392
20391	20391
20390	20390
20389	20389
20388	20388
20387	20387
20386	20386
20385	20385
20384	20384
20383	20383
20382	20382
20381	20381
20380	20380
20379	20379
20378	20378
20377	20377
20376	20376
20375	20375
20374	20374
20373	20373
20372	20372
20371	20371
20370	20370
20369	20369
20368	20368
20367	20367
20366	20366
20365	20365
20364	20364
20355	20355
20354	20354
20353	20353
20352	20352
20351	20351
20350	20350
20349	20349
20348	20348
20347	20347
20346	20346
20345	20345
20344	20344
20343	20343
20342	20342
20341	20341
20340	20340
20339	20339
20338	20338
20337	20337
20336	20336
20335	20335
20334	20334
20333	20333
20332	20332
20331	20331
20330	20330
20329	20329
20328	20328
20327	20327
20326	20326
20325	20325
20324	20324
20323	20323
20322	20322
20321	20321
20320	20320
20319	20319
20318	20318
20317	20317
20316	20316
20315	20315
20314	20314
20313	20313
20312	20312
20311	20311
20310	20310
20309	20309
20308	20308
20307	20307
20306	20306
20305	20305
20304	20304
20303	20303
20302	20302
20301	20301
20300	20300
10884	10884
103547	103547
103546	103546
103545	103545
103544	103544
103543	103543
103542	103542
102557	102557
102531	102531
102078	102078
102077	102077
102076	102076
102075	102075
102074	102074
102073	102073
102072	102072
102071	102071
102070	102070
102069	102069
102068	102068
102067	102067
102056	102056
102055	102055
102054	102054
102053	102053
102052	102052
102051	102051
102050	102050
102049	102049
102048	102048
102034	102034
102033	102033
102032	102032
102031	102031
102030	102030
102029	102029
101986	101986
101985	101985
101984	101984
101983	101983
101982	101982
101957	101957
101948	101948
101947	101947
101946	101946
101945	101945
101944	101944
101942	101942
101941	101941
101940	101940
101939	101939
101938	101938
101937	101937
101936	101936
101935	101935
101934	101934
101564	101564
101378	101378
100652	100652
100651	100651
9999	9999
98568	98568
98567	98567
98566	98566
98547	98547
